,field1,field1_Cleaned1,Sentiment,More,better
0,"Cleaner role clarity across teams, endorsed by SLT, will help reduce internal conflict and delivery challenges. ",cleaner role clarity across teams endorsed by slt will help reduce internal conflict and delivery challenges,n,0,0
1,"1) Creating a better work-life balance, encourage time-offs for training and self-development. This is possible only of we have certain bench strength 2) Improving the working relationship with the broader Po1 team ",creating a better worklife balance encourage timeoffs for training and selfdevelopment this is possible only of we have certain bench strength improving the working relationship with the broader po team,n,0,1
2,#NAME?,proactively stay in front of compensation market adjustments,,0,0
3,A couple of suggestions to consider:,a couple of suggestions to consider,,0,0
4,Global evaluation how Epsilon uses email and manage meetings day-to-day. Most associates have a high volume of both and can struggle with time management finding little time to do work ,global evaluation how epsilon uses email and manage meetings daytoday most associates have a high volume of both and can struggle with time management finding little time to do work,,0,0
5,with such a large % of time spent on email and in meetings on a daily basis. Technology and resource support. Revisit and update policies around technology allocations & support for remote associates. Audit top technology issues reported and share feedback to the ,with such a large of time spent on email and in meetings on a daily basis technology and resource support revisit and update policies around technology allocations support for remote associates audit top technology issues reported and share feedback to the,,0,0
6,company how those can be better addressed. Offer more remote employee reimbursement on things extra monitors and wifi. ,company how those can be better addressed offer more remote employee reimbursement on things extra monitors and wifi,,1,1
7,"Allow all employees the choice to be fully remote as we've proven over the past year and a half that we can successfully do our jobs from home, foster more discussion with managers about where you want to grow your career within Epsilon. ",allow all employees the choice to be fully remote as weve proven over the past year and a half that we can successfully do our jobs from home foster more discussion with managers about where you want to grow your career within epsilon,,1,0
8,Be more competitive in compensation and benefits ,be more competitive in compensation and benefits,,1,0
9,"Be more transparent with promotions and raises, have better benefits for working parents. Show that you care more about your associates and value them. ",be more transparent with promotions and raises have better benefits for working parents show that you care more about your associates and value them,,1,1
10,"Better align business units to work collaboratively, instead of working toward each P&L. ",better align business units to work collaboratively instead of working toward each pl,n,0,1
11,Better align staffing to project scope. The long hours are too much. ,better align staffing to project scope the long hours are too much,n,0,1
12,"Better benefits (e.g. $35 for cell phone reimbursement is poor when $50 is industry standard), more Holiday TIme offs, less bureaucracy ",better benefits eg for cell phone reimbursement is poor when is industry standard more holiday time offs less bureaucracy,,1,1
13,Better DE&I that engages people at the individual level. Affinity group creation would be nice. ,better dei that engages people at the individual level affinity group creation would be nice,,0,1
14,Better business KPIs that do not require teams that should be working together to act as competition. The client loses when teams leave out necessary SMEs to maintain the dollars for the project because they aren't getting what they actually** need. It also makes a contentious work environment that pigeonholes key players that are focused on proper delivery vs hoarding dollars and or resources. ,better business kpis that do not require teams that should be working together to act as competition the client loses when teams leave out necessary smes to maintain the dollars for the project because they arent getting what they actually need it also makes a contentious work environment that pigeonholes key players that are focused on proper delivery vs hoarding dollars and or resources,n,0,1
15,Not leading with strategic thought drives less than optimal performance for clients which frustrates clients over time and teams then scramble not to lose accounts. ,not leading with strategic thought drives less than optimal performance for clients which frustrates clients over time and teams then scramble not to lose accounts,n,0,0
16,"Not having reasonable/easy access to PMs for large projects leaving other professional services teams running point, their services, and corralling cross functional teams. Which would be fine but not ideal when the client relationship is owned elsewhere. ",not having reasonableeasy access to pms for large projects leaving other professional services teams running point their services and corralling cross functional teams which would be fine but not ideal when the client relationship is owned elsewhere,n,0,0
17,Better divisional alignment ,better divisional alignment,,0,1
18,Better downstream communications - more of them and more timely. ,better downstream communications more of them and more timely,,1,1
19,Better pay and benefits -- my pay vs peers has significantly suffered by staying with the company. Benefit costs keep going up. Charitable matching has declined (used to do a 1/x per year 2 for 1 match plus other charitable options. ,better pay and benefits my pay vs peers has significantly suffered by staying with the company benefit costs keep going up charitable matching has declined used to do a x per year for match plus other charitable options,n,0,1
